학교명,주소,위도,경도
강동고등학교,울산광역시 북구 화암4길 8(산하동. 강동고등학교),35.6328635,129.4353017
문수고등학교,울산광역시 남구 울밀로 2905(무거동. 문수고등학교),35.5554896,129.265236
천상고등학교,울산광역시 울주군 범서읍 당앞로 96천상고등학교 (범서읍),35.5655077,129.2218994
남창고등학교,울산광역시 울주군 온양읍 태화7길 43-16. 남창고등학교 (온양읍),35.4151138,129.2776161
다운고등학교,울산광역시 중구 다운로 180(다운동. 다운고등학교),35.5664458,129.2706566
남목고등학교,울산광역시 동구 방어진순환도로 1200(서부동.남목고등학교),35.5380436,129.4187718
우신고등학교,울산광역시 남구 대학로1번길 29(무거동. 우신고등학교),35.5384598,129.2504208
범서고등학교,울산광역시 울주군 범서읍 대리로 69(범서읍. 범서고등학교),35.5697028,129.2494083
울산동천고등학교,울산광역시 북구 고래로 54.(천곡동. 동천고등학교),35.6324544,129.3397334
달천고등학교,울산광역시 북구 달천철장길 23(달천동. 달천고등학교),35.6312698,129.3287257
대송고등학교,울산광역시 동구 봉수로 210(화정동. 대송고등학교),35.5056335,129.4189337
무거고등학교,울산광역시 남구 대학로1번길 17-28(무거동. 무거고등학교),35.5364878,129.2508374
무룡고등학교,울산광역시 북구 사청1길 30(연암동. 무룡고등학교),35.585984,129.361659
문현고등학교,울산광역시 동구 화잠7길 25문현고등학교 (방어동),35.4821639,129.4095186
방어진고등학교,울산광역시 동구 학문로 50(화정동. 방어진고등학교),35.5045782,129.4229889
신정고등학교,울산광역시 남구 문수로 458(신정동. 신정고등학교),35.5323226,129.302305
울산여자고등학교,울산광역시 남구 삼산로9번길 16. 울산여자고등학교 (신정동),35.5354459,129.3088059
온산고등학교,울산광역시 울주군 온산읍 명봉거남로 76(온산읍. 온산고등학교),35.44056,129.3167297
울산중앙고등학교,울산광역시 중구 난곡로 33(태화동. 중앙고등학교),35.555625,129.285056
울산중앙여자고등학교,울산광역시 중구 내황2길 33(반구동.울산중앙여자고등학교),35.5542015,129.344144
학성고등학교,울산광역시 남구 문수로 436(신정동.학성고등학교),35.5312509,129.3002988
학성여자고등학교,울산광역시 중구 화합로 466(약사동. 학성여자고등학교),35.566347,129.3351065
호계고등학교,울산광역시 북구 동대11길 31(호계동. 호계고등학교),35.630729,129.354908
화암고등학교,울산광역시 동구 화암7길 55방어동 1053,35.4766929,129.4096162
울산강남고등학교,울산광역시 남구 팔등로 115. 22 (신정동),35.5491104,129.3187941
약사고등학교,울산광역시 중구 종가로 560(약사동. 약사고등학교),35.5738929,129.3355417
언양고등학교,울산광역시 울주군 언양읍 언양로 53(언양읍),35.5618308,129.1337372
효정고등학교,울산광역시 북구 율동2길 41(효문동. 효정고등학교),35.5635981,129.3751584
대현고등학교,울산광역시 남구 수암로 164. 대현고등학교 (야음동. 야음교육단지),35.5254406,129.3248625
함월고등학교,울산광역시 중구 종가3길 25(유곡동),35.561341,129.2973108
신선여자고등학교,울산광역시 남구 수암로178번길 14(야음동. 야음교육단지),35.5251572,129.3259141
삼산고등학교,울산광역시 남구 돋질로339번길 13(삼산동. 삼산고등학교),35.5452107,129.341051
삼일여자고등학교,울산광역시 남구 두왕로190번길 59(선암동. 삼일여자고등학교),35.5164361,129.3171615
성광여자고등학교,울산광역시 남구 남부순환도로 97(옥동),35.5430756,129.2662044
성신고등학교,울산광역시 중구 성신고교길 26.성신고등학교(복산동. 성신고등학교),35.5633472,129.3282461
울산경의고등학교,울산광역시 울주군 상북면 상북로 248(상북면. 상북중학교. 경의고등학교),35.588562,129.0938507
울산고등학교,울산광역시 중구 도화골15길 15(복산동. 울산고등학교),35.5643749,129.3312458
울산제일고등학교,울산광역시 남구 남부순환도로 107(옥동. 울산제일고등학교),35.54255,129.26871
화봉고등학교,울산광역시 북구 화동로 47. 화봉고등학교 (화봉동),35.5952215,129.3700344
현대고등학교,울산광역시 동구 봉수로 455(서부동)238-17,35.5053544,129.4193636
매곡고등학교,울산광역시 북구 매산로 45. 매곡고등학교 (매곡동),35.6446315,129.3596459
현대청운고등학교,울산광역시 동구 방어진순환도로 1077(서부동),35.5111519,129.4234794
세인고등학교,울산광역시 울주군 웅촌면 은현작동로 58(웅촌면. 세인고등학교),35.4577735,129.1778187
울산스포츠과학고등학교,울산광역시 북구 산음3길 16. 울산스포츠과학고등학교 (산하동),35.6233896,129.4313779
울산과학고등학교,울산광역시 울주군 상북면 도동신리로. 117 (상북면),35.5987023,129.1010355
울산예술고등학교,울산광역시 울주군 웅촌면 웅촌로 621-6(웅촌면. 울산예술고등학교),35.4826047,129.2161755
울산외국어고등학교,울산광역시 북구 중산동로 32-46. 울산외국어고등학교 (중산동. 울산외국어고등학교),35.6589949,129.3548513
울산공업고등학교,울산광역시 남구 중앙로204번길 49. 울산공업고등학교 (신정동),35.5412837,129.3171127
울산애니원고등학교,울산광역시 중구 성안11길 21(성안동. 울산애니원고등학교),35.5784564,129.321163
울산마이스터고등학교,울산광역시 북구 율동6길 7(효문동. 울산마이스터고등학교),35.5608387,129.3782056
울산에너지고등학교,울산광역시 북구 화동2길 28. 울산에너지고등학교 (화봉동. 울산에너지고등학교),35.5900313,129.3690476
울산기술공업고등학교,울산광역시 울주군 온산읍 덕망로 54. 울산기술공업고등학교 (온산읍),35.4383339,129.3082515
현대공업고등학교,울산광역시 동구 미포로 122. 현대공업고등학교 (동부동. 현대공업고등학교),35.5379911,129.4321815
울산상업고등학교,울산광역시 울주군 범서읍 장검길 11. 울산상업고등학교 (범서읍),35.557041,129.2554475
울산여자상업고등학교,울산광역시 남구 두왕로 304.울산여자상업고등학교(신정동.울산여자상업고등학교),35.5293183,129.3097233
울산산업고등학교,울산광역시 울주군 삼남면 반구대로 675(삼남면),35.5528448,129.1155525
울산미용예술고등학교,울산광역시 울주군 웅촌면 학교길 26. 울산미용예술고등학교 (웅촌면. 울산미용예술고등학교),35.4659953,129.2040105
울산생활과학고등학교,울산광역시 동구 학문로 70(화정동. 울산생활과학고등학교),35.504773,129.4216
메아리학교,울산광역시 북구 갓안1길 8(중산동),35.6658813,129.3403292
울산혜인학교,울산광역시 중구 북부순환도로 777. 울산혜인학교 (약사동),35.5745345,129.3373016
태연학교,울산광역시 북구 대안4길 60(대안동. 태연학원),35.657754,129.419124
울산행복학교,울산광역시 울주군 언양읍 언양로 594(언양읍. 울산행복학교),35.5574263,129.1832446
울산두남중고등학교,울산광역시 울주군 두서면 구량차리로 16(두서면),35.6171552,129.1475712
상진초등학교병설유치원,울산광역시 동구 봉수로 50(화정동. 상진초등학교),35.4918851,129.4182121
상안유치원,울산광역시 북구 양지길 28(상안동),35.6260416,129.3318902
고헌유치원,울산광역시 북구 화산3길 2(화봉동. 제2 송정유치원),35.590067,129.3672139
내황유치원,울산광역시 중구 내황길 13. 65 (반구동),35.5540639,129.3420773
꽃바위유치원,울산광역시 동구 문현2길 41(방어동. 꽃바위유치원),35.4876633,129.411296
강동숲유치원,울산광역시 북구 대안2길 38. 강동숲유치원 (대안동),35.6499692,129.4213621
남목초등학교병설유치원,울산광역시 동구 옥류로 33(서부동),35.5423784,129.4249604
동부초등학교병설유치원,울산광역시 동구 남목13길 23(동부동),35.5451404,129.4275909
중산초등학교병설유치원,울산광역시 북구 신천로 125-28. 중산초등학교 병설유치원 (중산동. 중산초등학교),35.6494647,129.3524403
농서초등학교병설유치원,울산광역시 북구 가재길 57. 농서초등학교 (달천동. 농서초등학교),35.6314781,129.330494
농소초등학교병설유치원,울산광역시 북구 호계로 192(호계동),35.6213005,129.3559945
다운초등학교병설유치원,울산광역시 중구 다운8길 5(다운동),35.5615121,129.2671308
동천유치원,울산광역시 북구 고래로 34동천유치원 (천곡동),35.631506,129.3406319
명덕초등학교병설유치원,울산광역시 동구 진성14길 15(일산동. 명덕초등학교),35.506073,129.4244675
무룡초등학교병설유치원,울산광역시 중구 약사로 50(약사동. 무룡초등학교),35.5698188,129.3348286
미포초등학교병설유치원,울산광역시 동구 진성15길 35(일산동),35.5063768,129.4218605
방어진초등학교병설유치원,울산광역시 동구 꽃바위로 341.병설유치원 (방어동. 방어진초등학교. 방어진초등학교병설유치원),35.487608,129.4251559
삼일초등학교병설유치원,울산광역시 중구 동천5길 18-9(서동),35.5822537,129.3455551
성안초등학교병설유치원,울산광역시 중구 함월14길 19. 성안초등학교 병설유치원 (성안동),35.5762898,129.3122195
약사초등학교병설유치원,울산광역시 중구 화합로 478. 약사초등학교 (약사동. 약사초등학교),35.5675895,129.3339275
약수초등학교병설유치원,울산광역시 북구 약수8길 50(중산동. 약수초등학교),35.6477263,129.3419091
공룡자연유치원,울산광역시 동구 남목13길 27(동부동),35.5446995,129.4290464
양사초등학교병설유치원,울산광역시 중구 장춘로 95(교동. 양사초등학교),35.5574072,129.3189164
염포초등학교병설유치원,울산광역시 북구 염포로 667(염포동.염포초등학교),35.5335476,129.3916186
옥성초등학교병설유치원,울산광역시 중구 옥교11길 50옥성초등학교 (학성동),35.5527652,129.3344958
우정초등학교병설유치원,울산광역시 중구 평동길 40(우정동. 우정초등학교),35.5602638,129.3070537
울산초등학교병설유치원,울산광역시 중구 종가5길 30. 울산초등학교병설유치원 (유곡동. 울산초등학교),35.5619534,129.2995838
울산양정초등학교병설유치원,울산광역시 북구 양정2길 11(양정동),35.5455798,129.3863797
외솔초등학교병설유치원,울산광역시 중구 종가로 700. 외솔초등학교병설유치원 (서동. 외솔초등학교),35.5838677,129.3427149
매산초등학교병설유치원,울산광역시 북구 매산로 53(매곡동. 매산초등학교),35.6442549,129.3605463
일산초등학교병설유치원,울산광역시 동구 진성12길 11일산초등학교 (일산동),35.5054115,129.425822
전하초등학교병설유치원,울산광역시 동구 바드래길 55. 전하초등학교 병설유치원  (전하동),35.5154659,129.4277937
주전초등학교병설유치원,울산광역시 동구 동해안로 575. 주전초등학교 병설유치원 (주전동. 주전초등학교),35.5574892,129.456151
태화초등학교병설유치원,울산광역시 중구 평동길 25(유곡동. 태화초등학교),35.5587329,129.3061023
금비유치원,울산광역시 북구 송내13길 14. 금비유치원 (화봉동. 금비유치원),35.5927,129.3618181
평산초등학교병설유치원,울산광역시 중구 평산로 25(약사동),35.5688878,129.3379164
학성초등학교병설유치원,울산광역시 중구 해오름1길 15. 학성초등학교 (반구동),35.560085,129.342303
명촌초등학교병설유치원,울산광역시 북구 명촌10길 11(명촌동. 명촌초등학교),35.5530156,129.3569382
화정초등학교병설유치원,울산광역시 동구 대송9길 55. 화정초등학교 (화정동. 화정초등학교),35.5019895,129.4206975
함월초등학교병설유치원,울산광역시 중구 학성1길 25(복산동. 함월초등학교),35.5590766,129.3299819
연암초등학교병설유치원,울산광역시 북구 두부곡4길 35(연암동),35.58593,129.3697292
화진초등학교병설유치원,울산광역시 동구 방어진순환도로 543. 화진초등학교 (방어동),35.4914409,129.4254891
송정초등학교병설유치원,울산광역시 북구 상방로 75(화봉동. 송정초등학교),35.5914557,129.3657973
동국유치원,울산광역시 중구 기상대길 13. 동국유치원 (북정동),35.5596808,129.3205803
정인유치원,울산광역시 중구 당산5길 37-3(우정동),35.5550639,129.3121483
이안들꽃유치원,울산광역시 중구 북부순환도로 574(복산동),35.5589112,129.3249527
양지유치원,울산광역시 중구 우정4길 7(우정동) 양지유치원,35.558903,129.3120811
글로벌리더예원유치원,울산광역시 중구 다운6길 16(다운동. 다운아파트),35.5657069,129.2673351
울산유치원,울산광역시 중구 학성1길 33(복산동),35.5585002,129.3307652
라온수피아유치원,울산광역시 중구 병영로 41(서동),35.5729736,129.3457507
혜화유치원,울산광역시 중구 서원길 14. 혜화유치원 (복산동),35.5620141,129.3342178
새울산다운유치원,울산광역시 중구 다운5길 40(다운동),35.5649337,129.2668493
은성유치원,울산광역시 중구 산전1길12,35.5721289,129.3508464
가나유치원,울산광역시 중구 유곡로 10(우정동. 선경아파트2차),35.557903,129.3083315
대성유치원,울산광역시 동구 대송2길 10(화정동. 대송현대아파트),35.4985478,129.4185557
룸비니유치원,울산광역시 동구 월봉7가길 12(화정동. 룸비니유치원),35.4915241,129.4192396
백조유치원,울산광역시 동구 진성12길 124(전하동),35.5109855,129.4275548
사랑생태놀이유치원,울산광역시 동구 양지3길 12. 사랑유치원(화정동),35.497857,129.420295
서라벌유치원,울산광역시 동구 바드래길 92-1. 서라벌유치원 (전하동),35.5163269,129.4269327
선미유치원,울산광역시 동구 월봉8길 30. 선미유치원(화정동 873-7),35.4929962,129.4201839
우주유치원,울산광역시 동구 남목7길 32(서부동. 우주유치원),35.541805,129.4222629
하나유치원,울산광역시 동구 방어진순환도로 521(방어동),35.4893721,129.4238421
현대동부유치원,울산광역시 동구 안산로 50-1(동부동. 현대동부유치원),35.5428239,129.4330424
현대서부유치원,울산광역시 동구 서부길 25. 현대서부유치원 (서부동),35.5230184,129.4259708
환희지유치원,울산광역시 동구 진성6길 105(전하동.환희지유치원),35.5069663,129.4222658
동해유치원,울산광역시 북구 오치골4길 9(양정동),35.5468084,129.3845625
보람유치원,울산광역시 북구 새장터6길 14(염포동),35.5344911,129.3912401
송정유치원,울산광역시 북구 상방로 81(화봉동),35.5901814,129.3672638
예지원유치원,울산광역시 북구 상방로 160. 얘지원유치원 (연암동. 벽산늘푸른아파트),35.5838455,129.3645199
양정현대유치원,울산광역시 북구 치전1길 39. 양정현대유치원 (양정동),35.5418232,129.3902131
이화제일유치원,울산광역시 북구 갓안2길 24(중산동),35.6666694,129.3421559
새싹유치원,울산광역시 북구 제내2길 24(신천동),35.6329037,129.3525473
호계비둘기유치원,울산광역시 북구 당수골길 12(호계동),35.6282958,129.3625817
리라유치원,울산광역시 북구 천곡길 122-12(천곡동),35.6405383,129.3313656
현대유리유치원,울산광역시 북구 매곡1로 13. 현대유리유치원 (매곡동.매곡현대아파트),35.6418384,129.3536026
명신유치원,울산광역시 북구 호계로 309-19(신천동),35.6330047,129.3508499
월성유치원,울산광역시 북구 화정2길 23. 월성유치원 (중산동),35.6594472,129.3421865
꿈동산유치원,울산광역시 북구 매곡로 183(매곡동),35.6485404,129.357962
미래유치원,울산광역시 북구 달래골길 46(천곡동.미래유치원),35.6397269,129.3237721
화봉유치원,울산광역시 북구 송내6길 8440-1 (화봉동. 화봉유치원),35.5897336,129.3641309
산새소리유치원,울산광역시 북구 신기3길 30-5. 산새소리유치원 (매곡동),35.6465045,129.3547135
하늘땅유치원,울산광역시 북구 관문길 240하늘땅유치원 (천곡동),35.6537251,129.3144393
예은유치원,울산광역시 중구 평동4길 9(유곡동),35.5590697,129.3051379
동화유치원,울산광역시 북구 동대17길 11(호계동. 동화유치원),35.6293954,129.3522142
큰사랑유치원,울산광역시 북구 제내2길 45-4큰사랑유치원 (신천동),35.6343393,129.3549638
은빛유치원,울산광역시 북구 명촌로 91은빛유치원,35.5475444,129.3761032
꿈샘유치원,울산광역시 중구 푸름길 24(복산동),35.5594423,129.3266545
예솔유치원,울산광역시 북구 명촌12길 34-10(명촌동),35.5557182,129.3528431
파랑새생태유치원,울산광역시 중구 학성공원5길 12. 파랑새생태유치원 (학성동),35.5521543,129.3401064
백련과학유치원,울산광역시 중구 성안로 214.  백련과학유치원 (성안동),35.5785397,129.3191354
연세유치원,울산광역시 북구 명촌1길 17-4(진장동),35.5590438,129.3599933
그림마을유치원,울산광역시 동구 남목18길 28. 그림마을유치원 (동부동),35.5433515,129.4277651
빛나몬테소리유치원,울산광역시 동구 남목19길 3(동부동. 빛나몬테소리스쿨어린이집),35.5439791,129.4285646
상상미술유치원,울산광역시 동구 월봉10나길 4(화정동. 상상미술학원),35.4936062,129.4198821
선경유치원,울산광역시 중구 우정3길 9. 104동 앞 선경유치원 (우정동.선경아파트1차),35.5590696,129.3091091
재능유치원,울산광역시 중구 신기1길 61. 재능유치원 (태화동),35.5683982,129.1195155
화봉초등학교병설유치원,울산광역시 북구 화산로 42(화봉동. 화봉초등학교),35.5957608,129.3673249
예일유치원,울산광역시 북구 관문길 137(천곡동),35.6468161,129.3230918
월드키즈유치원,울산광역시 중구 성안2길 27. 월드키즈유치원 (성안동),35.5731494,129.3175222
연세2유치원,울산광역시 북구 지당3길 16(송정동),35.6025627,129.355833
동그라미유치원,울산광역시 북구 아랫마을길 12. 동그라미유치원 (달천동),35.6302688,129.3155499
아리솔유치원,울산광역시 중구 종가5길 31. 아리솔유치원 (유곡동),35.5609992,129.2996581
명정초등학교병설유치원,울산광역시 중구 명난로 115. 명정초등학교 (태화동. 명정초등학교),35.55282,129.2892223
동대초등학교병설유치원,울산광역시 북구 신천로 36(신천동),35.6410933,129.3496843
강동유치원,울산광역시 북구 달곡2길 38(무룡동. 강동유치원),35.6054105,129.428482
예빈유치원,울산광역시 중구 함월5길 17(성안동),35.5750075,129.3055453
동천초등학교병설유치원,울산광역시 북구 고래로 26(천곡동. 동천초등학교),35.631812,129.341243
민들레유치원,울산광역시 북구 양지길 28. 양지길 28 (상안동),35.6260416,129.3318902
병영초등학교병설유치원,울산광역시 중구 병영성13길 2(서동),35.5749775,129.345076
은월초등학교병설유치원,울산광역시 북구 당수골23길 7(호계동),35.6347618,129.3627323
고헌초등학교병설유치원,울산광역시 북구 화동로 129. 고헌초등학교 (송정동. 초등학교),35.6021501,129.3693622
강동초등학교,울산광역시 북구 화암4길 5(산하동. 강동초등학교),35.631299,129.435107
남목초등학교,울산광역시 동구 옥류로 33(서부동),35.5423784,129.4249604
남외초등학교,울산광역시 중구 남외3길 40(남외동. 남외초등학교),35.5657917,129.3485497
내황초등학교,울산광역시 중구 내황13길 53. 내황초등학교 (반구동),35.551932,129.348883
녹수초등학교,울산광역시 동구 봉수로 545. 녹수초등학교 (서부동. 녹수초등학교),35.5308807,129.4285988
중산초등학교,울산광역시 북구 신기18길 22(중산동 156. 중산초등학교),35.6494647,129.3524403
농서초등학교,울산광역시 북구 가재길 57(달천동. 농서초등학교),35.6314781,129.330494
농소초등학교,울산광역시 북구 호계로 192(호계동.농소초등학교),35.622063,129.356464
다운초등학교,울산광역시 중구 다운8길 5. 다운초등학교 (다운동),35.5618525,129.267025
다전초등학교,울산광역시 중구 다운로 176(다운동.다전초등학교),35.5677111,129.2684352
동부초등학교,울산광역시 동구 남목13길 23(동부동. 동부초등학교),35.545379,129.4278762
동천초등학교,울산광역시 북구 고래로 26(천곡동. 동천초등학교),35.631812,129.341243
매곡초등학교,울산광역시 북구 매곡1로 49(매곡동. 매곡초등학교),35.6442115,129.3501613
명덕초등학교,울산광역시 동구 진성14길 15. 명덕초등학교 (일산동),35.506073,129.4244675
명정초등학교,울산광역시 중구 명난로 115(태화동. 명정초등학교),35.55282,129.2892223
명촌초등학교,울산광역시 북구 명촌10길 11. 명촌초등학교 (명촌동.명촌초등학교),35.5530156,129.3569382
문현초등학교,울산광역시 동구 꽃바위6길 25(방어동. 문현초등학교),35.4809697,129.4139626
무룡초등학교,울산광역시 중구 약사로 50(약사동. 무룡초등학교),35.5698188,129.3348286
미포초등학교,울산광역시 동구 진성15길 35(일산동),35.5063768,129.4218605
방어진초등학교,울산광역시 동구 꽃바위로 341(방어동. 방어진초등학교. 방어진초등학교병설유치원),35.4875802,129.4246559
백양초등학교,울산광역시 중구 성안8길 10-5(성안동. 백양초등학교),35.5772065,129.3199965
병영초등학교,울산광역시 중구 병영성13길 2(서동. 병영초등학교),35.5749721,129.3450909
복산초등학교,울산광역시 중구 도화골15길 15(복산동. 복산초등학교),35.5633026,129.3309825
삼일초등학교,울산광역시 중구 동천5길 18-9(서동),35.5822537,129.3455551
상안초등학교,울산광역시 북구 천곡남로 59(천곡동. 상안초등학교),35.6341167,129.334188
상진초등학교,울산광역시 동구 봉수로 50(화정동.상진초등학교),35.4918851,129.4182121
서부초등학교,울산광역시 동구 봉수로 457. 서부초등학교 (서부동. 서부초등학교),35.5264645,129.4232383
성안초등학교,울산광역시 중구 함월14길 19(성안동. 성안초등학교),35.5762898,129.3122195
송정초등학교,울산광역시 북구 상방로 75(화봉동. 송정초등학교),35.5914557,129.3657973
화봉초등학교,울산광역시 북구 화산로 42(화봉동.화봉초등학교),35.5957608,129.3673249
신천초등학교,울산광역시 북구 호계로 349-7. 신천초등학교 (신천동. 신천초등학교),35.6337003,129.3474368
약사초등학교,울산광역시 중구 화합로 478(약사동. 약사초등학교),35.5675895,129.3339275
약수초등학교,울산광역시 북구 약수8길 50(중산동. 약수초등학교),35.6477263,129.3419091
양사초등학교,울산광역시 중구 장춘로 95. 양사초등학교 (교동. 양사초등학교),35.5574072,129.3189164
연암초등학교,울산광역시 북구 두부곡4길 35(연암동),35.58593,129.3697292
염포초등학교,울산광역시 북구 염포로 667(염포동.염포초등학교),35.5335476,129.3916186
옥성초등학교,울산광역시 중구 옥교11길 50(학성동.옥성초등학교),35.5528486,129.3345791
우정초등학교,울산광역시 중구 평동길 40(우정동. 우정초등학교),35.5602638,129.3070537
울산초등학교,울산광역시 중구 종가5길 30. . (유곡동. 울산초등학교),35.5619534,129.2995838
울산양정초등학교,울산광역시 북구 양정2길 11. 울산양정초등학교 (양정동. 양정초등학교),35.5454893,129.3862134
이화초등학교,울산광역시 북구 화정4길 40(중산동.이화초등학교),35.661447,129.3442974
일산초등학교,울산광역시 동구 진성12길 11(일산동. 일산초등학교),35.5054115,129.425822
전하초등학교,울산광역시 동구 바드래길 55(전하동. 전하초등학교),35.5154659,129.4277937
주전초등학교,울산광역시 동구 동해안로 575(주전동. 주전초등학교),35.5577392,129.4569009
천곡초등학교,울산광역시 북구 천곡길 138천곡초등학교 (천곡동),35.6396993,129.3304937
태화초등학교,울산광역시 중구 평동길 25(유곡동. 태화초등학교),35.5587329,129.3061023
평산초등학교,울산광역시 중구 평산로 25(약사동. 평산초등학교),35.56918,129.3379395
학성초등학교,울산광역시 중구 해오름1길 15. 학성초등학교 (반구동),35.560085,129.342303
함월초등학교,울산광역시 중구 학성1길 25(복산동. 함월초등학교),35.5590766,129.3299819
호계초등학교,울산광역시 북구 동대13길 20. 호계초등학교 (호계동. 호계초등학교),35.6300621,129.3566582
화암초등학교,울산광역시 동구 화문로 55(방어동. 화암초등학교),35.4840805,129.4156568
화정초등학교,울산광역시 동구 대송9길 55(화정동. 화정초등학교),35.5019895,129.4206975
화진초등학교,울산광역시 동구 방어진순환도로 543. 화진초등학교 (방어동),35.4914409,129.4254891
연암초등학교효문분교장,울산광역시 북구 송도길 84(효문동. 효문초등학교),35.5669588,129.3686868
양지초등학교,울산광역시 동구 양지6길 33(화정동),35.4973289,129.4212272
매산초등학교,울산광역시 북구 매산로 53(매곡동. 매산초등학교),35.6442549,129.3605463
