Column1,버정거리총합,상호개수,교통사고건수,보호구역개수,화재발생건수,주유소명
0,0.006666667,0.09375,0,0,0.01369863,SK행복충전 불모가스충전소
1,0.48,0.3125,0.320895522,0.431034483,0.356164384,동부2
2,0.413333333,0.5625,0.236940299,0.189655172,0.232876712,(유)공단가스산업
3,0.533333333,0.4375,0.330223881,0.293103448,0.410958904,광신직영(두대충전소)
4,0.56,0.46875,0.378731343,0.293103448,0.589041096,SK행복충전 유남충전소(주)배성에너지
5,0.133333333,0.0625,0,0.034482759,0.178082192,진전가스충전소
6,0.72,0.59375,0.36380597,0.534482759,0.301369863,광신직영(굴현충전소)
7,0.626666667,0.53125,0.343283582,0.482758621,0.191780822,마금산LPG충전소
8,0.773333333,0.15625,0.337686567,0.913793103,0.616438356,SK창성가스(주)배성 SK행복충전
9,0.673333333,0.34375,0.526119403,0.517241379,0.342465753,영진가스(주)
10,0.72,0.1875,0.373134328,0.413793103,0.410958904,SK행복충전 경양LPG충전소
11,0.786666667,0.59375,0.393656716,0.603448276,0.575342466,새창원충전소
12,0.62,0.46875,0.445895522,0.465517241,0.465753425,(주)창원충전소
13,0.293333333,0.09375,0.055970149,0.017241379,0,SK행복충전 북창원LPG충전소
14,0.26,0.03125,0.031716418,0.017241379,0.123287671,SK행복충전 신항LPG충전소
15,0.66,0.46875,0.449626866,0.603448276,0.465753425,SK행복충전 창원개인택시지부충전소
16,0.726666667,0.46875,0.509328358,0.586206897,0.493150685,조은LPG충전소
17,0.733333333,0.90625,0.391791045,0.603448276,0.479452055,(주)도일충전소
18,0.373333333,0.40625,0.223880597,0.155172414,0.232876712,금성가스
19,0.533333333,0.71875,0.259328358,0.379310345,0.383561644,경남충전소(주)배성 SK행복충전
20,0.58,0.3125,0.220149254,0.534482759,0.479452055,마산LPG충전소 동방도시가스
21,1,0.9375,0.580223881,0.793103448,0.589041096,극동충전소
22,0.353333333,0.15625,0.108208955,0.155172414,0.273972603,삼화가스
23,0.026666667,0.0625,0,0,0,그린가스텍주식회사
24,0.166666667,0.15625,0.01119403,0.068965517,0.109589041,SK행복충전 우산LPG충전소
25,0.446666667,0.5,0.070895522,0.25862069,0.369863014,SK행복충전 경서에너지충전소
26,0.46,0.3125,0.065298507,0.155172414,0.369863014,SK행복충전 석전충전소
27,0.18,0.25,0.013059701,0.103448276,0.082191781,(주)경서에너지 대천충전소
28,0.713333333,0.8125,0.425373134,0.603448276,0.438356164,동부충전소
29,0.3,0.25,0.065298507,0.224137931,0.369863014,SK행복충전 태화충전소
30,0.72,0.53125,0.776119403,0.534482759,0.410958904,sk신포충전소
31,0.086666667,0.21875,0.018656716,0.017241379,0.109589041,(주)동구에너지
32,0.833333333,1,0.539179104,0.586206897,0.561643836,SK행복충전 마산개인택시복지충전소
33,0.086666667,0.21875,0.018656716,0.017241379,0.109589041,SK행복충전 용원충전소
34,0.22,0.1875,0.208955224,0.172413793,0.095890411,진해LPG충전소
35,0.733333333,0.59375,0.455223881,0.551724138,0.561643836,광신직영(태광셀프)
36,0.733333333,0.21875,0.64738806,0.931034483,0.890410959,동부3
37,0.106666667,0.0625,0,0.034482759,0.178082192,태진주유소
38,0.74,0.53125,0.753731343,0.465517241,0.424657534,곰돌이주유소
39,0.8,0.59375,0.873134328,0.706896552,0.383561644,울트라주유소
40,0.806666667,0.59375,0.395522388,0.603448276,0.575342466,성경주유소
41,0.82,0.625,0.47761194,0.517241379,0.534246575,대림주유소
42,0.713333333,0.8125,0.425373134,0.603448276,0.438356164,역전주유소
43,0.613333333,0.40625,0.223880597,0.534482759,0.575342466,동부셀프주유소
44,0.726666667,0.59375,0.479477612,0.431034483,0.520547945,엔시네트웍스㈜ 의창주유소
45,0.633333333,0.53125,0.365671642,0.379310345,0.164383562,도경셀프주유소
46,0.6,0.40625,0.695895522,0.465517241,0.493150685,광신석유(주)직영 무학주유소
47,0.22,0.03125,0,0,0,북창원I.C주유소
48,0.24,0.03125,0.001865672,0,0,미창주유소
49,0.693333333,0.59375,0.36380597,0.534482759,0.301369863,(주)천주산주유소
50,0.3,0.25,0.065298507,0.224137931,0.369863014,감천주유소
51,0.32,0.40625,0.145522388,0.293103448,0.315068493,하늘주유소
52,0.593333333,0.71875,0.348880597,0.620689655,0.520547945,북마산주유소
53,0.52,0.125,0.184701493,0.24137931,0.356164384,(주)신마산주유소
54,0.606666667,0.375,0.223880597,0.534482759,0.575342466,(주)경상석유마창주유소
55,0.186666667,0.25,0.013059701,0.086206897,0.082191781,두척주유소
56,0.746666667,0.5625,0.307835821,0.5,0.465753425,동마산IC주유소
57,0.06,0.03125,0,0,0,경남에너지판매주유소
58,0.48,0.3125,0.320895522,0.431034483,0.356164384,동부1
59,0.04,0.125,0.270522388,0.017241379,0.01369863,동부2
60,0.513333333,0.28125,0.326492537,0.396551724,0.369863014,장복주유소
61,0.533333333,0.625,0.307835821,0.517241379,0.438356164,보문self주유소
62,1,0.9375,0.580223881,0.793103448,0.589041096,광신석유(주)직영 구암주유소
63,0.18,0.25,0.013059701,0.103448276,0.082191781,대양석유(주)아시아주유소
64,0.36,0.40625,0.156716418,0.137931034,0.232876712,두바이주유소
65,0.866666667,0.84375,0.492537313,0.706896552,0.657534247,국제주유소
66,0.76,0.53125,0.712686567,0.517241379,0.438356164,금성주유소
67,0.226666667,0.34375,0.070895522,0.051724138,0.095890411,봉암다리주유소
68,0.02,0.03125,0.005597015,0.017241379,0.054794521,늘푸른주유소
69,0.72,0.21875,0.652985075,0.913793103,0.780821918,상남셀프주유소
70,0.133333333,0.0625,0,0.034482759,0.178082192,적석산주유소
71,0.04,0.125,0.270522388,0.017241379,0.01369863,금창주유소
72,0.613333333,0.34375,0.695895522,0.448275862,0.452054795,(주)동백에너비스 아바타주유소
73,0.02,0.0625,0,0,0,두바이주유소
74,0.026666667,0.0625,0,0,0,새천년주유소
75,0.16,0.21875,0.003731343,0.034482759,0.082191781,마산주유소(SK)
76,0.72,0.5,0.802238806,0.551724138,0.287671233,경남주유소
77,0.226666667,0.15625,0.044776119,0.051724138,0.191780822,웅동주유소
78,0.853333333,0.875,0.930970149,0.75862069,0.506849315,성운주유소
79,0.453333333,0.40625,0.300373134,0.206896552,0.219178082,(주)온누리주유소
80,0.413333333,0.28125,0.063432836,0.103448276,0.369863014,중리제일주유소
81,0.993333333,0.9375,0.580223881,0.793103448,0.589041096,지에스칼텍스㈜ 신진주유소
82,0.3,0.375,0.149253731,0.137931034,0.232876712,지에스칼텍스㈜ 판도라주유소
83,0.533333333,0.4375,0.330223881,0.293103448,0.410958904,광신직영(두대셀프)
84,0.72,0.625,0.468283582,0.534482759,0.589041096,현대주유소
85,0.646666667,0.46875,0.449626866,0.482758621,0.465753425,동성주유소
86,0.406666667,0.46875,0.229477612,0.155172414,0.232876712,동남주유소
87,0.446666667,0.46875,0.070895522,0.25862069,0.369863014,백마주유소
88,0.573333333,0.25,0.296641791,0.293103448,0.356164384,공단주유소
89,0.88,0.25,0.587686567,0.931034483,0.726027397,토월주유소
90,0.733333333,0.71875,0.809701493,0.431034483,0.369863014,CJ대한통운㈜ 오동동셀프주유소
91,0.56,0.46875,0.378731343,0.293103448,0.589041096,남광석유직영 유남주유소
92,0.146666667,0.09375,0.001865672,0.034482759,0.068493151,동강주유소
93,0.7,0.65625,0.800373134,0.431034483,0.369863014,지에스칼텍스㈜ 마산월드주유소
94,0.833333333,0.8125,0.513059701,0.517241379,0.479452055,웰빙주유소
95,0.786666667,0.59375,0.393656716,0.603448276,0.575342466,지에스칼텍스(주)정일주유소
96,0.76,0.53125,0.712686567,0.517241379,0.438356164,웃음주유소
97,0.666666667,0.15625,0.335820896,0.793103448,0.534246575,지에스칼텍스㈜ 감동주유소
98,0.706666667,0.15625,0.333955224,0.810344828,0.534246575,남창원농협주유소
99,0,0,0.007462687,0,0,해안주유소
100,0.106666667,0.125,0.01119403,0.051724138,0.109589041,제우스주유소
101,0.226666667,0.0625,0.01119403,0.051724138,0.520547945,모암주유소
102,0.686666667,0.4375,0.759328358,0.517241379,0.301369863,완월주유소
103,0.286666667,0.0625,0.03358209,0.051724138,0.109589041,웅천농협주유소
104,0.886666667,0.9375,0.583955224,0.810344828,0.616438356,광신석유(주)직영 양덕주유소
105,0.133333333,0.125,0.014925373,0.051724138,0.01369863,동방석유(주)직영 불모1주유소
106,0.04,0.125,0.270522388,0.017241379,0.01369863,보배산주유소
107,0.613333333,0.34375,0.641791045,0.413793103,0.465753425,영광주유소
108,0.113333333,0.125,0.014925373,0.034482759,0.01369863,동방석유(주) 불모2주유소
109,0.88,0.90625,0.936567164,0.706896552,0.602739726,합포주유소
110,0.353333333,0.3125,0.061567164,0.086206897,0.410958904,진성주유소
111,0.893333333,0.90625,1,0.689655172,0.506849315,금강주유소
112,0.133333333,0.0625,0.01119403,0.051724138,0,마대주유소
113,0.086666667,0.21875,0.018656716,0.017241379,0.109589041,광신석유(주)직영 진해대로주유소
114,0.613333333,0.15625,0.244402985,0.344827586,0.273972603,대양석유(주)그린주유소
115,0.513333333,0.59375,0.233208955,0.517241379,0.424657534,고속주유소
116,0.76,0.625,0.485074627,0.482758621,0.589041096,지에스칼텍스(주)천진셀프주유소
117,0.313333333,0.25,0.10261194,0,0.219178082,지에스칼텍스(주)아바타주유소
118,0.3,0.25,0.065298507,0.224137931,0.369863014,만남주유소
119,0.84,0.90625,0.434701493,0.793103448,0.575342466,태양주유소
120,0.853333333,0.28125,0.84141791,0.931034483,1,현대오일뱅크㈜직영 신상남주유소
121,0.46,0.3125,0.061567164,0.189655172,0.369863014,내서IC주유소
122,0.12,0.09375,0.035447761,0,0,공단로주유소
123,0.093333333,0.03125,0.01119403,0.068965517,0.520547945,우리주유소
124,0.08,0.0625,0.027985075,0.017241379,0,초원제2주유소
125,0.48,0.09375,0.222014925,0.310344828,0.205479452,(주)청조에너지 삼성주유소
126,0.273333333,0.03125,0.044776119,0.086206897,0.328767123,삼영에너지(주)
127,0.553333333,0.28125,0.34141791,0.413793103,0.383561644,경화주유소
128,0.606666667,0.375,0.14738806,0.431034483,0.328767123,금강산주유소
129,0.306666667,0.375,0.106343284,0.103448276,0.232876712,희망주유소
130,0.573333333,0.3125,0.410447761,0.448275862,0.383561644,마진주유소
131,0.18,0.125,0.035447761,0.068965517,0.054794521,경성주유소
132,0.22,0.1875,0.208955224,0.172413793,0.095890411,남송주유소
133,0.513333333,0.0625,0.130597015,0.379310345,0.246575342,(주)봉림주유소
134,0.58,0.625,0.347014925,0.517241379,0.438356164,현대오일뱅크㈜직영 극동셀프주유소
135,0.78,0.71875,0.498134328,0.637931034,0.493150685,정목에너지(주)오페주유소
136,0.146666667,0.03125,0.031716418,0.103448276,0,광신석유(주)직영 호원주유소
137,0.48,0.28125,0.063432836,0.189655172,0.369863014,중리공단주유소
138,0.086666667,0.0625,0.014925373,0.017241379,0,신성주유소
139,0.393333333,0.03125,0.235074627,0.224137931,0.082191781,대호주유소
140,0.766666667,0.59375,0.430970149,0.620689655,0.575342466,케이티엑스주유소
141,0.733333333,0.53125,0.774253731,0.517241379,0.424657534,현대오일뱅크㈜직영 해안셀프주유소
142,0.14,0.15625,0.01119403,0.051724138,0.109589041,현동주유소 (주)유테크 창원지점
143,0.186666667,0,0,0.051724138,0,반동주유소
144,0.2,0,0,0.017241379,0.178082192,삼진제일주유소
145,0.34,0.09375,0.016791045,0.120689655,0.369863014,지산주유소
146,0.166666667,0.125,0.037313433,0.068965517,0.219178082,진동주유소
147,0.3,0.0625,0.069029851,0.051724138,0,명당주유소
148,0.666666667,0.75,0.330223881,0.603448276,0.369863014,행복주유소
149,0.306666667,0.15625,0.042910448,0.137931034,0.369863014,(주)삼진에너지
150,0.28,0.125,0.041044776,0.137931034,0.369863014,진동농협주유소
151,0.6,0.4375,0.255597015,0.5,0.369863014,부성주유소
152,0.3,0.0625,0.005597015,0.051724138,0.136986301,SK화랑주유소
153,0.28,0.1875,0.294776119,0.051724138,0.109589041,(주)천자봉주유소
154,0.68,0.1875,0.667910448,0.724137931,0.684931507,남해주유소
155,0.473333333,0.09375,0.222014925,0.293103448,0.205479452,대광주유소
156,0.113333333,0.0625,0.029850746,0.017241379,0,화양주유소
157,0.166666667,0.09375,0.027985075,0.086206897,0,동면주유소
158,0.753333333,0.21875,0.516791045,0.810344828,0.671232877,(주)경상석유사파정주유소
159,0.12,0.03125,0.02238806,0,0,주남주유소
160,0.12,0.03125,0.003731343,0.068965517,0.150684932,유산주유소
161,0.006666667,0.09375,0,0,0.01369863,굴앞셀프
162,0.26,0.09375,0.078358209,0.051724138,0.369863014,신촌주유소
163,0.153333333,0.0625,0,0.017241379,0,일동주유소
164,0.18,0.09375,0.027985075,0.017241379,0,전촌주유소
165,0.926666667,0.8125,0.52238806,0.775862069,0.630136986,회원주유소
166,0.48,0.625,0.248134328,0.275862069,0.383561644,엔씨파크주유소
167,0.646666667,0.65625,0.354477612,0.534482759,0.438356164,서마산IC주유소
168,0.233333333,0.21875,0.039179104,0.206896552,0,현대오일뱅크㈜직영 중리현대셀프주유소
169,0.34,0.375,0.115671642,0.137931034,0.232876712,CJ대한통운㈜ 창일주유소
170,0.866666667,0.8125,0.570895522,0.74137931,0.671232877,태광주유소
171,0.3,0.25,0.065298507,0.224137931,0.369863014,미소셀프주유소
172,0.72,0.78125,0.794776119,0.637931034,0.452054795,무학산주유소
173,0.173333333,0.09375,0.013059701,0.051724138,0.136986301,GS칼텍스 관문주유소
174,0.533333333,0.375,0.537313433,0.551724138,0.794520548,양지주유소
175,0.613333333,0.28125,0.373134328,0.431034483,0.342465753,대원주유소
176,0.66,0.5,0.464552239,0.586206897,0.589041096,상하주유소
177,0.286666667,0.15625,0.067164179,0.120689655,0.178082192,용마주유소
178,0.66,0.5,0.462686567,0.586206897,0.534246575,세강주유소
179,0.473333333,0.3125,0.063432836,0.189655172,0.369863014,농산물주유소
180,1,0.9375,0.580223881,0.793103448,0.589041096,현대오일뱅크㈜직영 마산현대주유소
181,0.073333333,0.0625,0.001865672,0,0,상북주유소
182,0.506666667,0.15625,0.26119403,0.379310345,0.315068493,참조은셀프주유소
183,0.353333333,0.125,0.257462687,0.224137931,0.095890411,진해주유소
184,0.533333333,0.28125,0.48880597,0.431034483,0.493150685,SK에너지(주)자은셀프주유소
185,0.673333333,0.53125,0.326492537,0.482758621,0.205479452,소계주유소
186,0.233333333,0.0625,0.013059701,0.068965517,0.520547945,신방주유소
187,0.24,0.25,0.039179104,0.206896552,0,광려천주유소
188,0.66,0.4375,0.378731343,0.586206897,0.438356164,현대오일뱅크㈜직영 오일탑주유소
189,0.306666667,0.125,0.235074627,0.224137931,0.082191781,현대오일뱅크㈜직영 녹원주유소
190,0.093333333,0.03125,0,0.017241379,0,용담주유소
191,0.28,0.03125,0.024253731,0.103448276,0.328767123,신우에너지(주) 광진주유소
192,0.346666667,0.125,0.263059701,0.224137931,0.095890411,내트럭(주)부산신항사업소
193,0.32,0.3125,0.054104478,0.103448276,0.410958904,동영주유소
194,0.026666667,0.125,0.020522388,0.034482759,0.136986301,대우주유소
195,0.9,0.8125,0.945895522,0.724137931,0.630136986,일광주유소
196,0.026666667,0.125,0.020522388,0.034482759,0.136986301,(주)율선행복드림
197,0.58,0.28125,0.311567164,0.327586207,0.369863014,SK에너지(주)해운주유소
198,0.42,0.375,0.257462687,0.137931034,0.219178082,한국타이어팔용점 파워주유소
199,0.3,0.28125,0.065298507,0.24137931,0.369863014,SK에너지(주)삼계셀프주유소
200,0.226666667,0.0625,0.044776119,0.051724138,0.178082192,협성주유소
201,0.693333333,0.5,0.576492537,0.75862069,0.643835616,SK에너지(주)도계주유소
202,0.293333333,0.09375,0.055970149,0.017241379,0,북창원주유소
203,0.233333333,0.03125,0.089552239,0.068965517,0.369863014,마금주유소
204,0.613333333,0.4375,0.255597015,0.517241379,0.342465753,경동에너지주유소
205,0.593333333,0.28125,0.378731343,0.465517241,0.356164384,장전주유소
206,0.593333333,0.1875,0.527985075,0.448275862,0.260273973,진해현대주유소
207,0.773333333,0.625,0.430970149,0.534482759,0.671232877,대한주유소
208,0.793333333,0.1875,0.598880597,0.844827586,0.767123288,신월주유소
209,0.273333333,0.09375,0.061567164,0,0.219178082,태광주유소
210,0.48,0.3125,0.320895522,0.431034483,0.356164384,석동주유소
211,0.22,0.1875,0.208955224,0.172413793,0.095890411,광신석유(주)직영 용원주유소
212,0.62,0.1875,0.348880597,1,0.315068493,대방주유소
213,0.76,0.1875,0.39738806,0.74137931,0.506849315,경남주유소
214,0.813333333,0.1875,0.606343284,0.655172414,0.589041096,용호주유소
215,0.7,0.4375,0.438432836,0.568965517,0.794520548,무지개주유소
216,0.173333333,0.125,0.037313433,0.068965517,0.219178082,판도라주유소
217,0.28,0.15625,0.279850746,0.051724138,0.082191781,진웅
218,0.393333333,0.3125,0.061567164,0.086206897,0.410958904,광신직영(호원셀프)
219,0.973333333,0.9375,0.574626866,0.775862069,0.698630137,야구장주유소
220,0.84,0.875,0.546641791,0.551724138,0.465753425,광신석유(주)직영 산호주유소
